"Код","Название","Адрес"
"2,123","ХАДИША 2","Север микрорайон, 4, 1 этаж"
"2,124","Халал","Аймаутова, 125, 1 этаж"
"2,125","Халал","Аль-Фараби, 2а/4"
"2,126","Ханзада","Нурсултана Назарбаева проспект, 41, цокольный этаж"
"2,127","ХАНШАЙЫМ","2-я, 29/1"
"2,128","Ханшайым","Туркестан, 1/1"
"2,129","Хасан Ата","Мангельдина, 37/2, 1 этаж"
"2,130","ХАСАН-ХУСАН","Дамбовая, 31/1"
"2,131","Хасият","Гагарина, 13/2"
"2,132","ХАТИРА","Узбекская, 45/2"
"2,133","Хоттабыч","Мустафа Озтурука, 150/1"
"2,134","Христина","Шамши Калдаякова, 4/5"
"2,135","Худайберген Ата","Аль-Фараби, 103/1"
"2,136","Хурсанд Ата","Диваева, 15, 1 этаж"
"2,137","Хусанбай","Сман Азимова, 85Б"
"2,138","Целина","Байдибек би, 53/1, 1 этаж"
"2,139","Цитадель","Маншук Маметовой, 172/1"
"2,140","Чайка","Диваева, 69"
"2,141","Чапаевка","Тайманулы, 15"
"2,142","Чарос","Бабыра, 9"
"2,143","Чарос","Аль-Фараби, 3/1"
"2,144","Чарос","Ибрагим ата, 21/1"
"2,145","Ш??ыла","Шугыла, 13/2"
"2,146","Ш??ЫЛА","Атасу, 7"
"2,147","Ш??ыла","Гулдала, 56/1"
"2,148","Ша?ыра?","Камбарулы, 101"
"2,149","ШАhАР","Сыпырган ата, 1/1, 1 этаж"
"2,150","Шавкат","Бауыржан Момышулы проспект, 68/1"
"2,151","Шаймерден","Сырым батыра, 153/1"
"2,152","Шакам ата","Турсынкул Утегенова, 1595"
"2,153","Шал","Зере, 1/6"
"2,154","Шапагат","Шокана Уалиханова, 192а/2"
"2,155","ШАПАГАТ","Орал, 82/1"
"2,156","ШАПАГАТ-2","Шапагат-2 микрорайон, 1/4"
"2,157","ШАРБЕТ","Исмаилова, 4/2"
"2,158","Шарипа","Мамина-Сибиряка, 9/1"
"2,159","Шарипбай ата","Новостройка, 1/1"
"2,160","Шарифхан","Саттарханова, 59/1"
"2,161","Шах","Байбори, 25"
"2,162","Шах","Шакирова, 31/1"
"2,163","ШАХ","Хан Танири, 63"
"2,164","Шах","Туркестан, 47/1"
"2,165","ШАХ 10","Аль-Фараби, 270/2"
"2,166","Шах Нур","Юсуфа Сареми, 46/3, 1 этаж"
"2,167","Шах-Нур","Гани Иляева, 124, 1 этаж"
"2,168","Шахар","Сман Азимова, 32/1"
"2,169","Шахзод","Искра, 28, 1 этаж"
"2,170","Шахмат","Аль-Фараби, 103/1"
"2,171","Шахноза","Аймаутова, 18"
"2,172","Шахризода","Аль-Фараби, 139, 1 этаж"
"2,173","Шаян","Спатаева, 100"
"2,174","Ширин","Манкент, 19а"
"2,175","Ширин","Байдибек ата, 16"
"2,176","Шо?ан","Народовольцев, 31а/1"
"2,177","Шодиана","Сатыбалдиева, 47/1, 1 этаж"
"2,178","Шолпан","Тауке Хана проспект, 175"
"2,179","Шолпан","Астана микрорайон, 74, 1 этаж"
"2,180","Шолпан","Жасталап, 37"
"2,181","Шолпан","Нурсат микрорайон, 8, 1 этаж"
"2,182","Шолпан","Амангельды, 20/7"
"2,183","Шолпан","Тажибаева, 55"
"2,184","Шолпан","Кожанова, 25, 1 этаж"
"2,185","Шукур ата","Молодая Гвардия, 25/1"
"2,186","Шурик","Туркестан, 51"
"2,187","ШУХРАТ","Ауэзова, 34"
"2,188","Шухрат","Дулати проезд, 1/1"
"2,189","Шым","Алимбетова, 62/3"
"2,190","ШЫМБОЛАТ","Шокана Уалиханова, 231Б/2"
"2,191","Шымкент кус","Туркестанская, 2/3"
"2,192","Шымыр Ата","Турсынкул Утегенова, 7/4, 1 этаж"
"2,193","Шынар","Аль-Фараби, 2г/1, 1 этаж"
"2,194","Шынар Халал","Жандосова, 43, 1 этаж"
"2,195","ШЫРЫН","Теректи, 18/2"
"2,196","Шырын","Терешковой, 18/1"
"2,197","Ынтыма?","Рыскулова, 534"
"2,198","Ынтыма?","Гагарина, 13/9"
"2,199","ЫНТЫМА?","Коктем, 2"
"2,200","Ынтымак","Ынтымак, 22/2"
"2,201","Ырыс","16-й микрорайон, 16/1"
"2,202","Ырыс","Казыбек Би, 11/1"
"2,203","Ырыс","Ташенова, 90/2"
"2,204","Ырыс","Тамерлановское шоссе, 46/40, 1 этаж"
"2,205","ЫРЫС","Казыбек Би, 188а"
"2,206","Ырыс","Гани Иляева, 5Б, 1 этаж"
"2,207","Ырыс","Бозарык микрорайон, 4/7"
"2,208","ЫРЫС","Юсупова, 27/2, 1 этаж"
"2,209","ЫРЫС АЙ","Еримбетова, 24, 1 этаж"
"2,210","ЫРЫСБАЙ АТА","Саттарханова, 3/1"
"2,211","Ысты","Отырар микрорайон, 60, 1 этаж"
"2,212","Эдельвейс","Дауренбека Курманбекова, 75/1"
"2,213","Эдельвейс","Тауке Хана проспект, 41, 1 этаж"
"2,214","ЭДЕМ","Елшибек батыра, 127/2, 1 этаж"
"2,215","Эконом Маркет","192-й квартал, 359/38, 1 этаж"
"2,216","ЭКОНОМ+","178-й квартал микрорайон, 257, 1 этаж"
"2,217","Экспресс","Кабанбай батыра проспект, 7, 1 этаж"
"2,218","Экспресс","Тамерлановское шоссе, 1/1"
"2,219","Элина","Республики проспект, 8/2, 1 этаж"
"2,220","Эль арас","Кабанбай батыра проспект, 2"
"2,221","Эльмира","Куаныш Толеметова, 6/12"
"2,222","Эльнура","Айдын, 21/4"
"2,223","Эркин","Шокана Уалиханова, 186/1"
"2,224","ЭФЕ","Теректи, 19/1"
"2,225","Эшим ата","Саттарханова, 2/1"
"2,226","Эшпол ата","Амира Тимура, 165/1"
"2,227","Южная Корзинка","Тамерлановское шоссе, 24/15"
"2,228","Южная Корзинка","Елшибек батыра, 118, 1 этаж"
"2,229","Южный","Елшибек батыра, 34а"
"2,230","Юлдаш ата","Юсуфа Сареми, 9/4"
"2,231","Юлдаш ата","Юсуфа Сареми, 112/1, 1 этаж"
"2,232","Ярче","Диваева, 89, 1 этаж"
"2,233","Ясмин","Кабанбай батыра проспект, 14/5, 1 этаж"
"2,234","Ясмин","Абая проспект, 33Б"
"2,235","Ясмина","Манкент, 31/2"
"2,236","Қуаныш","16 микрорайон, 6"
"2,237","Мадина","18 микрорайон, 49"
"2,238","Айару","Нурсат 2 микрорайон, 20"
"2,239","Qamqor","Елшибек батыра 16"
"2,240","Продуктовый магазин","Стадионная, 14"
"2,241","Оптовик 2","Достык мкр, ул Арайлы Тан, 337"
"2,242","Инжу","Достык мкр, Арайлы тан"
"2,243","Мадина","Гагарина"
"2,244","Әділ","Туркестанская 2/7"
"2,245","Спутник","Туркестанская, 5"
"2,246","Гүлжан","Зеленая балка 3"
"2,247","Арзан","Адырбкова 39"
"2,248","Нигина","Ташенова, 50"
"2,249","Диана","Яссауи, 35"
"2,250","Айнура","Ирисмет Ата, 17"
"2,251","Balym","Сагынбаева, 68/1"
"2,252","Ыстык Нан","АльФараби 221"
"2,253","Продуктовый Магазин","Яссауи, 1/1"
